match_id,duration,start_time,radiant_team_id,radiant_name,dire_team_id,dire_name,leagueid,league_name,series_id,series_type,radiant_score,dire_score,radiant_win,version
8397790191,2632,1754033497,9461271.0,Elite Eclipse,8965054.0,EYE Gaming,17366,Ultras Dota Pro League  2024-25,994569,1,48,40,True,22.0
8397783946,1814,1754033012,9332069.0,Mister Maniacs,9330492.0,Iconic,16325,Ancients League,998645,1,29,17,True,22.0
8397775383,1634,1754032335,8629005.0,Flawless Goblins,9768243.0,Night Force,17233,Destiny League,998644,1,33,16,True,22.0
8397762037,4095,1754031042,7732977.0,BOOM Esports,9131584.0,BB Team,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998633,1,32,34,True,22.0
8397757967,1349,1754030786,9332046.0,Dominatrix,8893840.0,Big Bang Gaming,16325,Ancients League,998635,1,30,16,True,22.0
8397752593,2365,1754030160,8965054.0,EYE Gaming,9563873.0,Elite Eclipse,17366,Ultras Dota Pro League  2024-25,998640,1,35,31,True,22.0
8397744860,1937,1754029451,9814269.0,Riftwalkers,9426115.0,Dark Rebellion,17233,Destiny League,998638,1,28,39,False,22.0
8397741868,2086,1754029155,8629324.0,Swift Knights,9768002.0,Lunar Vibes,17233,Destiny League,998639,1,36,47,False,22.0
8397729598,1854,1754028017,8893840.0,Big Bang Gaming,9332046.0,Dominatrix,16325,Ancients League,998635,1,15,33,False,22.0
8397721752,2721,1754027128,9563873.0,Elite Eclipse,8965054.0,EYE Gaming,17366,Ultras Dota Pro League  2024-25,998640,1,39,25,True,22.0
8397717470,1803,1754026735,9768002.0,Lunar Vibes,8629324.0,Swift Knights,17233,Destiny League,998639,1,41,26,True,22.0
8397717130,1937,1754026694,9426115.0,Dark Rebellion,9814269.0,Riftwalkers,17233,Destiny League,998638,1,38,24,True,22.0
8397709902,1300,1754025960,9332046.0,Dominatrix,8893840.0,Big Bang Gaming,16325,Ancients League,998635,1,12,33,False,22.0
8397698062,2103,1754025473,9131584.0,BB Team,7732977.0,BOOM Esports,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998633,1,21,7,True,22.0
8397694783,1573,1754024362,9425656.0,LSG,9767998.0,Nova Pulse,17233,Destiny League,998631,1,6,27,False,22.0
8397693076,1621,1754024236,8629315.0,Wiser Warriors,2443375.0,Foxy gaming,17233,Destiny League,998630,1,33,10,True,22.0
8397688599,1372,1754023735,8864178.0,Marvelous Warriors,8936507.0,FenixTeam,16325,Ancients League,998629,1,42,25,True,22.0
8397672934,1773,1754022080,9767998.0,Nova Pulse,9425656.0,LSG,17233,Destiny League,998631,1,43,23,True,22.0
8397665549,2263,1754021364,2443375.0,Foxy gaming,8629315.0,Wiser Warriors,17233,Destiny League,998630,1,35,42,False,22.0
8397660822,1784,1754021373,8936507.0,FenixTeam,8864178.0,Marvelous Warriors,16325,Ancients League,998629,1,31,41,False,22.0
8397648250,2322,1754019447,9824702.0,PVISION,8261500.0,Xtreme Gaming,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998612,1,12,20,False,22.0
8397622915,1966,1754016877,9005364.0,Night Vision,8850016.0,FLYING FORTUNE,17211,Dota 2 Space League,998596,1,36,18,True,22.0
8397617122,1614,1754016227,9579022.0,Puraka esports,9829371.0,Rock n Sports,18203,Campeonato NEXTLEVEL,998601,3,40,18,True,22.0
8397605965,2126,1754015553,8261500.0,Xtreme Gaming,9824702.0,PVISION,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998612,1,12,7,True,22.0
8397597247,2071,1754014256,8850016.0,FLYING FORTUNE,9005364.0,Night Vision,17211,Dota 2 Space League,998596,1,33,31,True,22.0
8397590199,1415,1754013425,9829371.0,Rock n Sports,9579022.0,Puraka esports,18203,Campeonato NEXTLEVEL,998601,3,7,24,False,22.0
8397576378,1581,1754012006,9005364.0,Night Vision,8850016.0,FLYING FORTUNE,17211,Dota 2 Space League,998596,1,28,13,True,22.0
8397556684,1661,1754009702,8957156.0,Silent killer,8849850.0,HELLBEAR HEROES,17211,Dota 2 Space League,998568,1,28,24,True,22.0
8397555692,1893,1754009555,9744330.0,Somos Nós a Justiça,9577761.0,PAREDAO DOTA 2,18203,Campeonato NEXTLEVEL,998569,3,30,12,True,22.0
8397533340,2109,1754007025,8849850.0,HELLBEAR HEROES,8957156.0,Silent killer,17211,Dota 2 Space League,998568,1,42,26,True,22.0
8397516259,2889,1754005077,9577761.0,PAREDAO DOTA 2,9744330.0,Somos Nós a Justiça,18203,Campeonato NEXTLEVEL,998569,3,22,47,False,22.0
8397514541,1740,1754004838,8957156.0,Silent killer,8849850.0,HELLBEAR HEROES,17211,Dota 2 Space League,998568,1,35,22,True,22.0
8397492694,1266,1754002673,7626304.0,SAND KING GÓMEZ,9843975.0,Pacific Esports,18474,Americas Convergence Series 1,998553,1,6,30,False,22.0
8397479241,1749,1754001393,8850015.0,DARKNESS GAMING,8849833.0,VERTEX PACK,17211,Dota 2 Space League,998558,1,36,22,True,22.0
8397454248,1618,1753999301,8849833.0,VERTEX PACK,8850015.0,DARKNESS GAMING,17211,Dota 2 Space League,998558,1,16,32,False,22.0
8397440495,1638,1753998156,7913999.0,Midas Club,9572147.0,Avalanche eSports,18203,Campeonato NEXTLEVEL,998546,3,52,14,True,22.0
8397437549,3106,1753997947,9843975.0,Pacific Esports,7626304.0,SAND KING GÓMEZ,18474,Americas Convergence Series 1,998553,1,39,38,True,22.0
8397427330,1496,1753997228,8936613.0,Wild Dragon,8849817.0,ZEUS THUNDER GOD,17211,Dota 2 Space League,998534,1,26,9,True,22.0
8397408227,1294,1753995888,9572147.0,Avalanche eSports,7913999.0,Midas Club,18203,Campeonato NEXTLEVEL,998546,3,6,33,False,22.0
8397388914,1806,1753994676,8849817.0,ZEUS THUNDER GOD,8936613.0,Wild Dragon,17211,Dota 2 Space League,998534,1,23,29,False,22.0
8397363134,2259,1753993181,9678518.0,TeamCompromiso,9844035.0,Fantasy Gaming,18474,Americas Convergence Series 1,998498,1,46,31,True,22.0
8397347664,1844,1753992262,8936613.0,Wild Dragon,8849817.0,ZEUS THUNDER GOD,17211,Dota 2 Space League,998534,1,21,36,False,22.0
8397323055,1890,1753990843,1811738.0,ИЗИВИН,9839063.0,FeedBerries,18419,Boss Battle,998497,3,16,42,False,22.0
8397319668,2569,1753990687,8971308.0,x5 Gaming,8513223.0,Farmadores de Aura,18203,Campeonato NEXTLEVEL,998512,3,17,24,False,22.0
8397301147,1974,1753989707,9361469.0,МУРМУР,9518531.0,GOVNAEDI,16251,Party To Play league,998525,0,7,40,False,22.0
8397292629,2084,1753989289,9678518.0,TeamCompromiso,9844035.0,Fantasy Gaming,18474,Americas Convergence Series 1,998498,1,42,24,True,22.0
8397273374,1692,1753988179,9530716.0,Air Defence,9844598.0,La Passion,17366,Ultras Dota Pro League  2024-25,998502,1,39,25,True,22.0
8397258041,1901,1753987420,8513223.0,Farmadores de Aura,8971308.0,x5 Gaming,18203,Campeonato NEXTLEVEL,998512,3,15,33,False,22.0
8397221469,1764,1753985506,9844598.0,La Passion,9530716.0,Air Defence,17366,Ultras Dota Pro League  2024-25,998502,1,21,47,False,22.0
8397210595,2564,1753985154,9844035.0,Fantasy Gaming,9678518.0,TeamCompromiso,18474,Americas Convergence Series 1,998498,1,44,33,True,22.0
8397206743,3978,1753985240,9839063.0,FeedBerries,1811738.0,ИЗИВИН,18419,Boss Battle,998497,3,50,41,True,22.0
8397152203,1668,1753982002,2576071.0,Yellow Submarine,9651185.0,Wildcard,17381,European Pro League  2024-2025 Season,998468,1,23,5,True,22.0
8397143171,1391,1753981575,9843926.0,PAREDÃO Rejects,8335298.0,Randoms Esports,18203,Campeonato NEXTLEVEL,998472,3,37,17,True,22.0
8397136111,3298,1753981355,9255039.0,1w Team,9338413.0,MOUZ,18396,CCT Dota 2 Season 2 Series 3,998469,1,35,47,True,22.0
8397080724,1765,1753978670,8335298.0,Randoms Esports,9843926.0,PAREDÃO Rejects,18203,Campeonato NEXTLEVEL,998472,3,16,52,False,22.0
8397080697,2125,1753978579,,,,,17508,互联网联赛,0,0,60,31,True,22.0
8397080022,2208,1753978549,9823272.0,Team Yandex,7732977.0,BOOM Esports,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998435,1,12,25,False,22.0
8397058011,1874,1753977721,9338413.0,MOUZ,9255039.0,1w Team,18396,CCT Dota 2 Season 2 Series 3,998469,1,12,32,False,22.0
8397048058,2377,1753977705,2576071.0,Yellow Submarine,9651185.0,Wildcard,17381,European Pro League  2024-2025 Season,998468,1,35,22,True,22.0
